rank,result
533,02:48:29
534,02:48:30
535,02:48:30
536,02:48:31
537,02:48:31
538,02:48:33
539,02:48:36
540,02:48:36
541,02:48:37
542,02:48:38
543,02:48:38
544,02:48:40
545,02:48:40
546,02:48:40
547,02:48:41
548,02:48:42
549,02:48:45
550,02:48:46
551,02:48:50
552,02:48:50
553,02:48:51
554,02:48:51
555,02:48:53
556,02:48:54
557,02:48:54
558,02:48:54
559,02:48:56
560,02:48:56
561,02:48:56
562,02:48:56
563,02:48:57
564,02:48:59
565,02:49:01
566,02:49:02
567,02:49:06
568,02:49:08
569,02:49:09
570,02:49:09
571,02:49:12
572,02:49:15
573,02:49:18
574,02:49:18
575,02:49:20
576,02:49:20
577,02:49:22
578,02:49:23
579,02:49:24
580,02:49:27
581,02:49:27
582,02:49:29
583,02:49:32
584,02:49:34
585,02:49:34
586,02:49:36
587,02:49:36
588,02:49:37
589,02:49:37
590,02:49:38
591,02:49:39
592,02:49:42
593,02:49:44
594,02:49:44
595,02:49:48
596,02:49:50
597,02:49:52
598,02:49:54
599,02:49:54
600,02:49:55
601,02:49:55
602,02:49:56
603,02:49:58
604,02:50:00
605,02:50:00
606,02:50:02
607,02:50:04
608,02:50:04
609,02:50:04
610,02:50:04
611,02:50:04
612,02:50:06
613,02:50:06
614,02:50:07
615,02:50:07
616,02:50:11
617,02:50:12
618,02:50:19
619,02:50:20
620,02:50:21
621,02:50:21
622,02:50:22
623,02:50:23
624,02:50:24
625,02:50:24
626,02:50:25
627,02:50:27
628,02:50:27
629,02:50:28
630,02:50:30
631,02:50:32
632,02:50:32
633,02:50:32
634,02:50:33
635,02:50:33
636,02:50:37
637,02:50:37
638,02:50:37
639,02:50:37
640,02:50:38
641,02:50:38
642,02:50:38
643,02:50:38
644,02:50:39
645,02:50:41
646,02:50:44
647,02:50:47
648,02:50:47
649,02:50:48
650,02:50:48
651,02:50:51
652,02:50:51
653,02:50:52
654,02:50:56
655,02:50:57
656,02:50:59
657,02:50:59
658,02:50:59
659,02:51:01
660,02:51:01
661,02:51:03
662,02:51:03
663,02:51:04
664,02:51:04
665,02:51:06
666,02:51:06
667,02:51:06
668,02:51:07
669,02:51:07
670,02:51:08
671,02:51:09
672,02:51:10
673,02:51:10
674,02:51:10
675,02:51:12
676,02:51:12
677,02:51:13
678,02:51:15
679,02:51:16
680,02:51:16
681,02:51:16
682,02:51:17
683,02:51:17
684,02:51:18
685,02:51:18
686,02:51:26
687,02:51:27
688,02:51:27
689,02:51:27
690,02:51:28
691,02:51:30
692,02:51:32
693,02:51:32
694,02:51:33
695,02:51:33
696,02:51:35
697,02:51:36
698,02:51:36
699,02:51:37
700,02:51:38
701,02:51:39
702,02:51:40
703,02:51:41
704,02:51:41
705,02:51:43
706,02:51:46
707,02:51:48
708,02:51:49
709,02:51:51
710,02:51:51
711,02:51:51
712,02:51:52
713,02:51:53
714,02:51:56
715,02:51:56
716,02:51:56
717,02:51:57
718,02:51:58
719,02:51:59
720,02:52:00
721,02:52:04
722,02:52:05
723,02:52:05
724,02:52:06
725,02:52:06
726,02:52:08
727,02:52:09
728,02:52:09
729,02:52:10
730,02:52:10
731,02:52:11
732,02:52:12
733,02:52:16
734,02:52:16
735,02:52:18
736,02:52:20
737,02:52:21
738,02:52:21
739,02:52:21
740,02:52:23
741,02:52:25
742,02:52:25
743,02:52:26
744,02:52:26
745,02:52:27
746,02:52:27
747,02:52:27
748,02:52:29
749,02:52:31
750,02:52:34
751,02:52:35
752,02:52:35
753,02:52:37
754,02:52:37
755,02:52:37
756,02:52:37
757,02:52:39
758,02:52:39
759,02:52:41
760,02:52:42
761,02:52:42
762,02:52:42
763,02:52:42
764,02:52:42
765,02:52:43
766,02:52:44
767,02:52:44
768,02:52:45
769,02:52:45
770,02:52:47
771,02:52:48
772,02:52:49
773,02:52:50
774,02:52:50
775,02:52:50
776,02:52:51
777,02:52:51
778,02:52:53
779,02:52:53
780,02:52:53
781,02:52:53
782,02:52:54
783,02:52:54
784,02:52:54
785,02:52:56
786,02:52:57
787,02:52:57
788,02:52:59
789,02:53:00
790,02:53:00
791,02:53:01
792,02:53:02
